title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist,year,is_case_study,is_major_label
젝키의 크리스마스,233000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
탈출,221000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
하얀밤에,253000.0,SECHSKIES,Welcome To The Sechskies Land,,,KR,1997-11-01,DSP Media,SECHSKIES,1997,False,False
확인,238000.0,SECHSKIES,학원별곡,,,KR,1997-05-04,DSP Media,SECHSKIES,1997,False,False
Baby Baby Baby,247000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,False,True
멀리있는 너에게,227000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,False,True
슬픈인사,226000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,False,True
애상,304000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,False,True
추억,205000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,False,True
하늘색 꿈,206000.0,박지윤,하늘색 꿈,,,KR,1997-12,JYP Entertainment,박지윤,1997,False,True
1TYM,210626.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
Falling in Love,205933.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
Good Love,222626.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
Heaven,199706.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
My Life,223466.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
나를 기다려,218360.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
널 일으켜,216466.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
뭘 위한 세상인가,204933.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
탈출,216106.0,1TYM,One Time for Your Mind,,,KR,1998-11-18,YG Entertainment,1TYM,1998,False,True
Blue Rain,261000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
Shadow,247000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
가,215000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
낙서,223000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
내 남자 친구에게,238000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
루비 (漏悲) 슬픈눈물,252000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
블루데이,218000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
사랑의 향기,251000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
윙크,205000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
유혹,208000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
행복한 약속,217000.0,Fin.K.L,Blue Rain,,,KR,1998,DSP Media,Fin.K.L,1998,False,False
Intro,67000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
관찰,216000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
나쁜 여자,253000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
난 너에게,204000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
날 기다려줘,257000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
니가 다시 돌아올 수 있도록,243000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
약속,217000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
어머님께,256000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
작은 남자들과 함께,203000.0,G.O.D,Chapter 1,,,KR,1998-12-15,SidusHQ,G.O.D,1998,False,False
H.O.T. (House Of Trust) -아빠 사랑해요-,195000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
In-I -이 세상에 버려진 모든 아이들을 위하여...-,320000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
Monade,258000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
Techno Love,253000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
Wedding X-Mas,285000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
You Got Gun?,255000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
"鬪魂 (투혼, The Spirit of Fighter)",246000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
빛 (Hope),255000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
"소년이여! 신화가 되어라 (Boys, Be a Legend!)",250000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
열맞춰! (Line Up!),247000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
우리들의 맹세 (The promise of H.O.T),263000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
하나라는 아름다운 느낌 (Unity is as beautiful as one),245000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
홀로서기 (All Alone),224000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
후에... (Since you've gone),248000.0,H.O.T.,Resurrection,,,KR,1998-09-24,SM Entertainment,H.O.T.,1998,False,True
Throw Them Hands Up,210933.0,"JINUSEAN, Perry, MF New Group",The Real,,,KR,1998-01-05,YG Entertainment,JINUSEAN,1998,False,True
"Like This, Like That",208760.0,"JINUSEAN, 조원선",The Real,,,KR,1998-01-05,YG Entertainment,JINUSEAN,1998,False,True
#,73000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Christmas Eve (John's Talk),30000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Christmas Story,190000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Evolution (outro),70000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Evolution…2&3,262000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Go to Jamaica,228000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Lying,244226.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Sad Way,232000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Unchained Melody,226000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
Yes,224000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
善,277000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
美,215000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
내게 남은 내겐 그대 하나,196000.0,S#arp,The S#arp,,,KR,1998-11-05,SM Entertainment,S#arp,1998,False,True
